Nap,Tmax  [°C],Tmin  [°C],Wind (m/s),Csapadék 	[mm]
2017.07.01szombat,26.0,15.0,6.1,14.0
2017.07.02vasárnap,25.0,15.0,6.9,0.0
2017.07.03hétfő,25.0,16.0,6.7,0.0
2017.07.04kedd,27.0,12.0,5.3,0.0
2017.07.05szerda,30.0,17.0,4.2,0.0
2017.07.06csütörtök,30.0,17.0,5.6,0.0
2017.07.07péntek,28.0,17.0,4.7,0.0
2017.07.08szombat,32.0,16.0,6.7,0.0
2017.07.09vasárnap,30.0,18.0,2.2,0.0
2017.07.10hétfő,36.0,20.0,6.4,21.0
2017.07.11kedd,31.48,22.16,3.7,0.4
2017.07.12szerda,32.14,19.55,2.2,1.5
2017.07.13csütörtök,24.78,17.3,7.0,1.0
2017.07.14péntek,24.71,14.39,1.6,0.0
2017.07.15szombat,24.83,15.19,5.2,2.4
2017.07.16vasárnap,25.43,14.36,3.4,0.0
2017.07.17hétfő,29.02,16.6,1.5,0.0
2017.07.18kedd,31.16,19.56,1.3,0.0
2017.07.19szerda,33.04,17.75,2.3,0.0
2017.07.20csütörtök,34.84,18.64,1.6,0.0
2017.07.21péntek,33.28,22.94,4.0,0.0
2017.07.22szombat,34.21,21.52,1.9,5.0
2017.07.23vasárnap,33.89,21.58,2.5,0.6
2017.07.24hétfő,30.87,21.92,3.1,8.3
2017.07.25kedd,22.1,15.1,8.4,12.9
2017.07.26szerda,20.7,13.2,5.9,0.0
2017.07.27csütörtök,20.7,12.8,7.1,1.0
2017.07.28péntek,23.1,15.9,6.8,0.2
2017.07.29szombat,26.4,16.0,3.3,0.0
2017.07.30vasárnap,27.9,16.4,4.7,0.0
2017.07.31hétfő,30.0,18.3,3.8,0.0
2017.08.01kedd,31.7,20.8,3.9,0.0
2017.08.02szerda,34.7,23.4,5.5,0.0
2017.08.03csütörtök,34.6,20.5,2.1,0.0
2017.08.04péntek,36.8,22.6,2.1,2.8
2017.08.05szombat,33.8,24.9,6.6,0.0
2017.08.06vasárnap,32.7,23.1,7.9,0.4
2017.08.07hétfő,23.7,16.6,4.8,4.2
2017.08.08kedd,29.2,13.7,3.0,0.0
2017.08.09szerda,29.3,18.2,4.6,0.0
2017.08.10csütörtök,36.1,22.9,5.3,0.0
2017.08.11péntek,34.3,22.4,6.0,0.0
2017.08.12szombat,23.5,19.9,8.6,0.5
2017.08.13vasárnap,26.4,17.1,8.1,0.0
2017.08.14hétfő,25.2,12.7,3.4,0.0
2017.08.15kedd,27.4,14.9,3.2,0.0
2017.08.16szerda,28.0,14.6,2.8,0.0
2017.08.17csütörtök,30.8,16.3,2.4,0.0
2017.08.18péntek,32.9,18.0,3.8,0.0
2017.08.19szombat,32.7,20.5,7.9,0.3
2017.08.20vasárnap,20.9,14.7,7.2,7.8
2017.08.21hétfő,23.4,13.1,6.1,0.0
2017.08.22kedd,22.5,10.7,2.7,0.0
2017.08.23szerda,23.7,10.8,3.5,0.0
2017.08.24csütörtök,26.3,9.1,2.9,0.1
2017.08.25péntek,29.5,14.1,2.2,0.0
2017.08.26szombat,30.2,16.4,2.6,0.0
2017.08.27vasárnap,32.2,18.3,4.4,0.0
2017.08.28hétfő,25.3,17.0,3.7,0.0
2017.08.29kedd,25.7,14.7,3.0,0.0
2017.08.30szerda,28.0,12.1,3.5,0.0
2017.08.31csütörtök,28.5,12.8,3.9,0.0
2017.09.01péntek,31.0,15.8,3.8,2.9
2017.09.02szombat,22.2,16.0,4.8,10.9
2017.09.03vasárnap,20.2,15.1,4.8,2.2
2017.09.04hétfő,18.9,12.1,6.7,1.9
2017.09.05kedd,21.6,9.6,5.9,0.0
2017.09.06szerda,22.2,10.4,6.7,2.1
2017.09.07csütörtök,19.5,12.6,7.4,0.0
2017.09.08péntek,21.4,8.7,3.0,0.0
2017.09.09szombat,24.5,11.3,4.4,1.0
2017.09.10vasárnap,26.0,13.8,5.4,0.0
2017.09.11hétfő,26.1,18.6,4.5,3.4
2017.09.12kedd,20.1,14.3,6.6,1.8
2017.09.13szerda,22.0,12.6,6.6,0.0
2017.09.14csütörtök,22.7,12.6,9.8,0.8
2017.09.15péntek,17.3,12.2,8.2,0.5
2017.09.16szombat,19.1,13.0,3.6,1.8
2017.09.17vasárnap,16.6,9.4,8.2,11.6
2017.09.18hétfő,17.3,10.3,3.4,0.8
2017.09.19kedd,14.8,11.3,5.3,9.9
2017.09.20szerda,16.3,12.5,2.7,15.0
2017.09.21csütörtök,13.8,12.2,7.5,5.4
2017.09.22péntek,17.0,10.5,7.0,0.4
2017.09.23szombat,13.0,10.4,7.7,16.9
2017.09.24vasárnap,16.7,9.2,5.8,0.2
2017.09.25hétfő,16.9,10.9,3.6,0.9
2017.09.26kedd,20.9,7.8,4.1,0.0
2017.09.27szerda,16.7,12.1,4.5,0.0
2017.09.28csütörtök,16.6,8.0,3.8,0.0
2017.09.29péntek,16.8,5.5,2.1,0.0
2017.09.30szombat,16.9,4.3,2.1,0.0
2017.10.01vasárnap,16.2,4.7,2.4,0.0
2017.10.02hétfő,17.0,3.1,5.3,0.0
2017.10.03kedd,15.6,4.9,4.3,6.1
2017.10.04szerda,16.1,10.1,6.9,0.0
2017.10.05csütörtök,19.6,10.5,9.9,0.0
2017.10.06péntek,14.9,10.5,7.7,0.0
2017.10.07szombat,14.8,8.3,6.4,0.0
2017.10.08vasárnap,14.8,6.8,7.6,0.1
2017.10.09hétfő,13.6,9.1,5.4,0.1
2017.10.10kedd,16.0,8.2,4.5,0.2
2017.10.11szerda,17.8,10.6,4.5,0.4
2017.10.12csütörtök,20.3,8.2,5.0,0.0
2017.10.13péntek,17.6,11.0,5.4,0.0
2017.10.14szombat,18.4,9.0,3.1,0.0
2017.10.15vasárnap,20.5,9.0,2.8,0.0
2017.10.16hétfő,21.0,9.7,2.0,0.0
2017.10.17kedd,21.4,9.6,2.9,0.0
2017.10.18szerda,20.5,10.8,3.0,0.0
2017.10.19csütörtök,18.8,8.0,2.0,0.0
2017.10.20péntek,19.4,7.7,2.3,0.0
2017.10.21szombat,16.9,7.7,2.0,0.0
2017.10.22vasárnap,16.4,8.6,4.8,5.8
2017.10.23hétfő,10.6,9.3,7.3,44.8
2017.10.24kedd,13.1,5.0,6.8,0.0
2017.10.25szerda,12.2,2.8,3.6,0.2
2017.10.26csütörtök,15.3,6.1,3.8,0.0
2017.10.27péntek,14.6,8.8,8.4,1.3
2017.10.28szombat,10.0,6.1,8.1,0.2
2017.10.29vasárnap,10.2,5.4,14.4,8.5
2017.10.30hétfő,8.0,4.2,9.1,0.1
2017.10.31kedd,8.4,2.9,6.1,0.0
2017.11.01szerda,10.0,0.5,4.1,0.0
2017.11.02csütörtök,11.6,3.2,5.0,0.0
2017.11.03péntek,11.4,3.9,5.6,0.1
2017.11.04szombat,11.4,1.3,3.4,0.0
2017.11.05vasárnap,11.7,4.9,4.5,0.7
2017.11.06hétfő,12.7,5.8,5.6,0.1
2017.11.07kedd,11.2,2.9,5.0,1.9
2017.11.08szerda,10.4,6.2,4.4,1.9
2017.11.09csütörtök,9.8,7.0,3.2,2.1
2017.11.10péntek,8.6,3.1,3.4,0.8
2017.11.11szombat,10.5,4.6,4.7,0.3
2017.11.12vasárnap,9.7,4.3,6.5,5.3
2017.11.13hétfő,9.1,5.1,6.3,13.8
2017.11.14kedd,7.2,2.7,5.3,3.6
2017.11.15szerda,5.8,-3.1,2.9,0.0
2017.11.16csütörtök,6.4,0.7,2.2,0.0
2017.11.17péntek,6.2,-0.1,2.6,0.1
2017.11.18szombat,5.3,-0.0,4.7,5.0
2017.11.19vasárnap,6.1,-0.1,4.5,0.7
2017.11.20hétfő,5.9,2.2,6.9,0.5
2017.11.21kedd,7.8,1.5,7.6,2.0
2017.11.22szerda,9.1,3.0,4.4,0.6
2017.11.23csütörtök,8.4,-0.2,2.2,0.2
2017.11.24péntek,7.8,2.4,2.4,0.2
2017.11.25szombat,8.8,5.1,6.1,0.5
2017.11.26vasárnap,6.3,2.3,7.7,8.7
2017.11.27hétfő,5.0,-0.3,6.6,0.0
2017.11.28kedd,4.4,-3.0,3.4,0.0
2017.11.29szerda,2.1,-2.0,5.3,3.2
2017.11.30csütörtök,3.7,0.8,7.7,23.5
2017.12.01péntek,3.1,-3.9,3.8,0.0
2017.12.02szombat,-0.1,-5.9,2.8,0.1
2017.12.03vasárnap,-1.3,-5.6,3.8,0.2
2017.12.04hétfő,1.5,-3.7,6.4,0.6
2017.12.05kedd,2.8,-0.5,6.4,0.3
2017.12.06szerda,3.3,-0.1,7.4,0.0
2017.12.07csütörtök,4.7,-2.7,4.6,0.0
2017.12.08péntek,7.6,-2.9,8.3,12.0
2017.12.09szombat,2.5,0.1,8.4,1.0
2017.12.10vasárnap,2.5,-2.8,9.1,1.2
2017.12.11hétfő,10.4,2.3,8.9,5.9
2017.12.12kedd,13.7,10.0,8.7,3.8
2017.12.13szerda,5.0,0.9,5.8,2.0
2017.12.14csütörtök,5.5,-1.8,5.6,5.5
2017.12.15péntek,8.7,3.0,7.0,27.6
2017.12.16szombat,5.5,0.9,4.7,3.8
2017.12.17vasárnap,3.0,-2.3,5.5,0.0
