,model,daynum,feature,target,error
0,LinearRegression(),0,allfeatures,Max_temp,-0.20860458208824392
1,LinearRegression(),0,onlytempfeatures,Max_temp,-0.21048837045602115
2,LinearRegression(),0,wind_rainfeatures,Max_temp,-0.8774284687183462
3,LinearRegression(),0,allfeatures,Min_temp,-0.17976051661935488
4,LinearRegression(),0,onlytempfeatures,Min_temp,-0.18765193944630382
5,LinearRegression(),0,wind_rainfeatures,Min_temp,-0.8665917585258412
6,LinearRegression(),0,allfeatures,Mean_temp,-0.1734611728993431
7,LinearRegression(),0,onlytempfeatures,Mean_temp,-0.1779200108118918
8,LinearRegression(),0,wind_rainfeatures,Mean_temp,-0.8748675918702358
9,LinearRegression(),1,allfeatures,Max_temp,-0.20618153083797014
10,LinearRegression(),1,onlytempfeatures,Max_temp,-0.21022546508383963
11,LinearRegression(),1,wind_rainfeatures,Max_temp,-0.8777717914128373
12,LinearRegression(),1,allfeatures,Min_temp,-0.17532495604218762
13,LinearRegression(),1,onlytempfeatures,Min_temp,-0.1824672031291556
14,LinearRegression(),1,wind_rainfeatures,Min_temp,-0.8651447675104095
15,LinearRegression(),1,allfeatures,Mean_temp,-0.1719368989971062
16,LinearRegression(),1,onlytempfeatures,Mean_temp,-0.177645450127137
17,LinearRegression(),1,wind_rainfeatures,Mean_temp,-0.8739396540998674
18,LinearRegression(),2,allfeatures,Max_temp,-0.20406583602797213
19,LinearRegression(),2,onlytempfeatures,Max_temp,-0.2088100629583527
20,LinearRegression(),2,wind_rainfeatures,Max_temp,-0.8790658052423606
21,LinearRegression(),2,allfeatures,Min_temp,-0.1740379508723154
22,LinearRegression(),2,onlytempfeatures,Min_temp,-0.18032961348047688
23,LinearRegression(),2,wind_rainfeatures,Min_temp,-0.865237844200984
24,LinearRegression(),2,allfeatures,Mean_temp,-0.1703725189043585
25,LinearRegression(),2,onlytempfeatures,Mean_temp,-0.17558996312861191
26,LinearRegression(),2,wind_rainfeatures,Mean_temp,-0.8749996249414844
27,LinearRegression(),3,allfeatures,Max_temp,-0.20304983605117047
28,LinearRegression(),3,onlytempfeatures,Max_temp,-0.20775366397805609
29,LinearRegression(),3,wind_rainfeatures,Max_temp,-0.8797132433448202
30,LinearRegression(),3,allfeatures,Min_temp,-0.17335079699935657
31,LinearRegression(),3,onlytempfeatures,Min_temp,-0.17838847308075176
32,LinearRegression(),3,wind_rainfeatures,Min_temp,-0.8653728713355925
33,LinearRegression(),3,allfeatures,Mean_temp,-0.1700567825462139
34,LinearRegression(),3,onlytempfeatures,Mean_temp,-0.1752624056946831
35,LinearRegression(),3,wind_rainfeatures,Mean_temp,-0.8754644501448452
36,LinearRegression(),4,allfeatures,Max_temp,-0.2026207832250014
37,LinearRegression(),4,onlytempfeatures,Max_temp,-0.20645573707100526
38,LinearRegression(),4,wind_rainfeatures,Max_temp,-0.8799731288264414
39,LinearRegression(),4,allfeatures,Min_temp,-0.1731643949253215
40,LinearRegression(),4,onlytempfeatures,Min_temp,-0.17776347483280103
41,LinearRegression(),4,wind_rainfeatures,Min_temp,-0.865182663017628
42,LinearRegression(),4,allfeatures,Mean_temp,-0.17014984105394584
43,LinearRegression(),4,onlytempfeatures,Mean_temp,-0.1748939064221424
44,LinearRegression(),4,wind_rainfeatures,Mean_temp,-0.8759156556849728
45,LinearRegression(),5,allfeatures,Max_temp,-0.20245517402239446
46,LinearRegression(),5,onlytempfeatures,Max_temp,-0.20610710391694043
47,LinearRegression(),5,wind_rainfeatures,Max_temp,-0.8802881676980873
48,LinearRegression(),5,allfeatures,Min_temp,-0.17280032917362992
49,LinearRegression(),5,onlytempfeatures,Min_temp,-0.17695856460015963
