,Date,Min_temp,Max_temp,Mean_temp,Target: Mean_temp
0,2017.07.01,15.0,26.0,20.5,20.0
1,2017.07.02,15.0,25.0,20.0,20.5
2,2017.07.03,16.0,25.0,20.5,19.5
3,2017.07.04,12.0,27.0,19.5,23.5
4,2017.07.05,17.0,30.0,23.5,23.5
5,2017.07.06,17.0,30.0,23.5,22.5
6,2017.07.07,17.0,28.0,22.5,24.0
7,2017.07.08,16.0,32.0,24.0,24.0
8,2017.07.09,18.0,30.0,24.0,28.0
9,2017.07.10,20.0,36.0,28.0,26.82
10,2017.07.11,22.16,31.48,26.82,25.845
11,2017.07.12,19.55,32.14,25.845,21.04
12,2017.07.13,17.3,24.78,21.04,19.55
13,2017.07.14,14.39,24.71,19.55,20.009999999999998
14,2017.07.15,15.19,24.83,20.009999999999998,19.895
15,2017.07.16,14.36,25.43,19.895,22.810000000000002
16,2017.07.17,16.6,29.02,22.810000000000002,25.36
17,2017.07.18,19.56,31.16,25.36,25.395
18,2017.07.19,17.75,33.04,25.395,26.740000000000002
19,2017.07.20,18.64,34.84,26.740000000000002,28.11
20,2017.07.21,22.94,33.28,28.11,27.865000000000002
21,2017.07.22,21.52,34.21,27.865000000000002,27.735
22,2017.07.23,21.58,33.89,27.735,26.395000000000003
23,2017.07.24,21.92,30.87,26.395000000000003,18.6
24,2017.07.25,15.1,22.1,18.6,16.95
25,2017.07.26,13.2,20.7,16.95,16.75
26,2017.07.27,12.8,20.7,16.75,19.5
27,2017.07.28,15.9,23.1,19.5,21.2
28,2017.07.29,16.0,26.4,21.2,22.15
29,2017.07.30,16.4,27.9,22.15,24.15
30,2017.07.31,18.3,30.0,24.15,26.25
31,2017.08.01,20.8,31.7,26.25,29.05
32,2017.08.02,23.4,34.7,29.05,27.55
33,2017.08.03,20.5,34.6,27.55,29.7
34,2017.08.04,22.6,36.8,29.7,29.349999999999998
35,2017.08.05,24.9,33.8,29.349999999999998,27.900000000000002
36,2017.08.06,23.1,32.7,27.900000000000002,20.15
37,2017.08.07,16.6,23.7,20.15,21.45
38,2017.08.08,13.7,29.2,21.45,23.75
39,2017.08.09,18.2,29.3,23.75,29.5
40,2017.08.10,22.9,36.1,29.5,28.349999999999998
41,2017.08.11,22.4,34.3,28.349999999999998,21.7
42,2017.08.12,19.9,23.5,21.7,21.75
43,2017.08.13,17.1,26.4,21.75,18.95
44,2017.08.14,12.7,25.2,18.95,21.15
45,2017.08.15,14.9,27.4,21.15,21.3
46,2017.08.16,14.6,28.0,21.3,23.55
47,2017.08.17,16.3,30.8,23.55,25.45
48,2017.08.18,18.0,32.9,25.45,26.6
49,2017.08.19,20.5,32.7,26.6,17.799999999999997
50,2017.08.20,14.7,20.9,17.799999999999997,18.25
51,2017.08.21,13.1,23.4,18.25,16.6
52,2017.08.22,10.7,22.5,16.6,17.25
53,2017.08.23,10.8,23.7,17.25,17.7
54,2017.08.24,9.1,26.3,17.7,21.8
55,2017.08.25,14.1,29.5,21.8,23.299999999999997
56,2017.08.26,16.4,30.2,23.299999999999997,25.25
57,2017.08.27,18.3,32.2,25.25,21.15
58,2017.08.28,17.0,25.3,21.15,20.2
59,2017.08.29,14.7,25.7,20.2,20.05
60,2017.08.30,12.1,28.0,20.05,20.65
61,2017.08.31,12.8,28.5,20.65,23.4
62,2017.09.01,15.8,31.0,23.4,19.1
63,2017.09.02,16.0,22.2,19.1,17.65
64,2017.09.03,15.1,20.2,17.65,15.5
65,2017.09.04,12.1,18.9,15.5,15.600000000000001
66,2017.09.05,9.6,21.6,15.600000000000001,16.3
67,2017.09.06,10.4,22.2,16.3,16.05
68,2017.09.07,12.6,19.5,16.05,15.049999999999999
69,2017.09.08,8.7,21.4,15.049999999999999,17.9
70,2017.09.09,11.3,24.5,17.9,19.9
71,2017.09.10,13.8,26.0,19.9,22.35
72,2017.09.11,18.6,26.1,22.35,17.200000000000003
73,2017.09.12,14.3,20.1,17.200000000000003,17.3
74,2017.09.13,12.6,22.0,17.3,17.65
75,2017.09.14,12.6,22.7,17.65,14.75
76,2017.09.15,12.2,17.3,14.75,16.05
77,2017.09.16,13.0,19.1,16.05,13.0
78,2017.09.17,9.4,16.6,13.0,13.8
79,2017.09.18,10.3,17.3,13.8,13.05
80,2017.09.19,11.3,14.8,13.05,14.4
81,2017.09.20,12.5,16.3,14.4,13.0
82,2017.09.21,12.2,13.8,13.0,13.75
83,2017.09.22,10.5,17.0,13.75,11.7
84,2017.09.23,10.4,13.0,11.7,12.95
85,2017.09.24,9.2,16.7,12.95,13.899999999999999
86,2017.09.25,10.9,16.9,13.899999999999999,14.35
87,2017.09.26,7.8,20.9,14.35,14.399999999999999
88,2017.09.27,12.1,16.7,14.399999999999999,12.3
89,2017.09.28,8.0,16.6,12.3,11.15
90,2017.09.29,5.5,16.8,11.15,10.6
91,2017.09.30,4.3,16.9,10.6,10.45
92,2017.10.01,4.7,16.2,10.45,10.05
93,2017.10.02,3.1,17.0,10.05,10.25
94,2017.10.03,4.9,15.6,10.25,13.100000000000001
95,2017.10.04,10.1,16.1,13.100000000000001,15.05
96,2017.10.05,10.5,19.6,15.05,12.7
97,2017.10.06,10.5,14.9,12.7,11.55
98,2017.10.07,8.3,14.8,11.55,10.8
99,2017.10.08,6.8,14.8,10.8,11.35
100,2017.10.09,9.1,13.6,11.35,12.1
101,2017.10.10,8.2,16.0,12.1,14.2
102,2017.10.11,10.6,17.8,14.2,14.25
103,2017.10.12,8.2,20.3,14.25,14.3
104,2017.10.13,11.0,17.6,14.3,13.7
105,2017.10.14,9.0,18.4,13.7,14.75
106,2017.10.15,9.0,20.5,14.75,15.35
107,2017.10.16,9.7,21.0,15.35,15.5
108,2017.10.17,9.6,21.4,15.5,15.65
109,2017.10.18,10.8,20.5,15.65,13.4
110,2017.10.19,8.0,18.8,13.4,13.549999999999999
111,2017.10.20,7.7,19.4,13.549999999999999,12.299999999999999
112,2017.10.21,7.7,16.9,12.299999999999999,12.5
113,2017.10.22,8.6,16.4,12.5,9.95
114,2017.10.23,9.3,10.6,9.95,9.05
115,2017.10.24,5.0,13.1,9.05,7.5
116,2017.10.25,2.8,12.2,7.5,10.7
117,2017.10.26,6.1,15.3,10.7,11.7
118,2017.10.27,8.8,14.6,11.7,8.05
119,2017.10.28,6.1,10.0,8.05,7.8
120,2017.10.29,5.4,10.2,7.8,6.1
121,2017.10.30,4.2,8.0,6.1,5.65
122,2017.10.31,2.9,8.4,5.65,5.25
123,2017.11.01,0.5,10.0,5.25,7.4
124,2017.11.02,3.2,11.6,7.4,7.65
125,2017.11.03,3.9,11.4,7.65,6.3500000000000005
126,2017.11.04,1.3,11.4,6.3500000000000005,8.3
127,2017.11.05,4.9,11.7,8.3,9.25
128,2017.11.06,5.8,12.7,9.25,7.05
129,2017.11.07,2.9,11.2,7.05,8.3
130,2017.11.08,6.2,10.4,8.3,8.4
131,2017.11.09,7.0,9.8,8.4,5.85
132,2017.11.10,3.1,8.6,5.85,7.55
133,2017.11.11,4.6,10.5,7.55,7.0
134,2017.11.12,4.3,9.7,7.0,7.1
135,2017.11.13,5.1,9.1,7.1,4.95
136,2017.11.14,2.7,7.2,4.95,1.3499999999999999
137,2017.11.15,-3.1,5.8,1.3499999999999999,3.5500000000000003
138,2017.11.16,0.7,6.4,3.5500000000000003,3.0500000000000003
139,2017.11.17,-0.1,6.2,3.0500000000000003,2.65
140,2017.11.18,-0.0,5.3,2.65,3.0
141,2017.11.19,-0.1,6.1,3.0,4.050000000000001
142,2017.11.20,2.2,5.9,4.050000000000001,4.65
143,2017.11.21,1.5,7.8,4.65,6.05
144,2017.11.22,3.0,9.1,6.05,4.1000000000000005
145,2017.11.23,-0.2,8.4,4.1000000000000005,5.1
146,2017.11.24,2.4,7.8,5.1,6.95
147,2017.11.25,5.1,8.8,6.95,4.3
148,2017.11.26,2.3,6.3,4.3,2.35
149,2017.11.27,-0.3,5.0,2.35,0.7000000000000002
150,2017.11.28,-3.0,4.4,0.7000000000000002,0.050000000000000044
151,2017.11.29,-2.0,2.1,0.050000000000000044,2.25
152,2017.11.30,0.8,3.7,2.25,-0.3999999999999999
153,2017.12.01,-3.9,3.1,-0.3999999999999999,-3.0
154,2017.12.02,-5.9,-0.1,-3.0,-3.4499999999999997
