,Date,Wind_m/s,Precipitation_mm,Target: Mean_temp
0,2017.07.01,6.1,14.0,20.0
1,2017.07.02,6.9,0.0,20.5
2,2017.07.03,6.7,0.0,19.5
3,2017.07.04,5.3,0.0,23.5
4,2017.07.05,4.2,0.0,23.5
5,2017.07.06,5.6,0.0,22.5
6,2017.07.07,4.7,0.0,24.0
7,2017.07.08,6.7,0.0,24.0
8,2017.07.09,2.2,0.0,28.0
9,2017.07.10,6.4,21.0,26.82
10,2017.07.11,3.7,0.4,25.845
11,2017.07.12,2.2,1.5,21.04
12,2017.07.13,7.0,1.0,19.55
13,2017.07.14,1.6,0.0,20.009999999999998
14,2017.07.15,5.2,2.4,19.895
15,2017.07.16,3.4,0.0,22.810000000000002
16,2017.07.17,1.5,0.0,25.36
17,2017.07.18,1.3,0.0,25.395
18,2017.07.19,2.3,0.0,26.740000000000002
19,2017.07.20,1.6,0.0,28.11
20,2017.07.21,4.0,0.0,27.865000000000002
21,2017.07.22,1.9,5.0,27.735
22,2017.07.23,2.5,0.6,26.395000000000003
23,2017.07.24,3.1,8.3,18.6
24,2017.07.25,8.4,12.9,16.95
25,2017.07.26,5.9,0.0,16.75
26,2017.07.27,7.1,1.0,19.5
27,2017.07.28,6.8,0.2,21.2
28,2017.07.29,3.3,0.0,22.15
29,2017.07.30,4.7,0.0,24.15
30,2017.07.31,3.8,0.0,26.25
31,2017.08.01,3.9,0.0,29.05
32,2017.08.02,5.5,0.0,27.55
33,2017.08.03,2.1,0.0,29.7
34,2017.08.04,2.1,2.8,29.349999999999998
35,2017.08.05,6.6,0.0,27.900000000000002
36,2017.08.06,7.9,0.4,20.15
37,2017.08.07,4.8,4.2,21.45
38,2017.08.08,3.0,0.0,23.75
39,2017.08.09,4.6,0.0,29.5
40,2017.08.10,5.3,0.0,28.349999999999998
41,2017.08.11,6.0,0.0,21.7
42,2017.08.12,8.6,0.5,21.75
43,2017.08.13,8.1,0.0,18.95
44,2017.08.14,3.4,0.0,21.15
45,2017.08.15,3.2,0.0,21.3
46,2017.08.16,2.8,0.0,23.55
47,2017.08.17,2.4,0.0,25.45
48,2017.08.18,3.8,0.0,26.6
49,2017.08.19,7.9,0.3,17.799999999999997
50,2017.08.20,7.2,7.8,18.25
51,2017.08.21,6.1,0.0,16.6
52,2017.08.22,2.7,0.0,17.25
53,2017.08.23,3.5,0.0,17.7
54,2017.08.24,2.9,0.1,21.8
55,2017.08.25,2.2,0.0,23.299999999999997
56,2017.08.26,2.6,0.0,25.25
57,2017.08.27,4.4,0.0,21.15
58,2017.08.28,3.7,0.0,20.2
59,2017.08.29,3.0,0.0,20.05
60,2017.08.30,3.5,0.0,20.65
61,2017.08.31,3.9,0.0,23.4
62,2017.09.01,3.8,2.9,19.1
63,2017.09.02,4.8,10.9,17.65
64,2017.09.03,4.8,2.2,15.5
65,2017.09.04,6.7,1.9,15.600000000000001
66,2017.09.05,5.9,0.0,16.3
67,2017.09.06,6.7,2.1,16.05
68,2017.09.07,7.4,0.0,15.049999999999999
69,2017.09.08,3.0,0.0,17.9
70,2017.09.09,4.4,1.0,19.9
71,2017.09.10,5.4,0.0,22.35
72,2017.09.11,4.5,3.4,17.200000000000003
73,2017.09.12,6.6,1.8,17.3
74,2017.09.13,6.6,0.0,17.65
75,2017.09.14,9.8,0.8,14.75
76,2017.09.15,8.2,0.5,16.05
77,2017.09.16,3.6,1.8,13.0
78,2017.09.17,8.2,11.6,13.8
79,2017.09.18,3.4,0.8,13.05
80,2017.09.19,5.3,9.9,14.4
81,2017.09.20,2.7,15.0,13.0
82,2017.09.21,7.5,5.4,13.75
83,2017.09.22,7.0,0.4,11.7
84,2017.09.23,7.7,16.9,12.95
85,2017.09.24,5.8,0.2,13.899999999999999
86,2017.09.25,3.6,0.9,14.35
87,2017.09.26,4.1,0.0,14.399999999999999
88,2017.09.27,4.5,0.0,12.3
89,2017.09.28,3.8,0.0,11.15
90,2017.09.29,2.1,0.0,10.6
91,2017.09.30,2.1,0.0,10.45
92,2017.10.01,2.4,0.0,10.05
93,2017.10.02,5.3,0.0,10.25
94,2017.10.03,4.3,6.1,13.100000000000001
95,2017.10.04,6.9,0.0,15.05
96,2017.10.05,9.9,0.0,12.7
97,2017.10.06,7.7,0.0,11.55
98,2017.10.07,6.4,0.0,10.8
99,2017.10.08,7.6,0.1,11.35
100,2017.10.09,5.4,0.1,12.1
101,2017.10.10,4.5,0.2,14.2
102,2017.10.11,4.5,0.4,14.25
103,2017.10.12,5.0,0.0,14.3
104,2017.10.13,5.4,0.0,13.7
105,2017.10.14,3.1,0.0,14.75
106,2017.10.15,2.8,0.0,15.35
107,2017.10.16,2.0,0.0,15.5
108,2017.10.17,2.9,0.0,15.65
109,2017.10.18,3.0,0.0,13.4
110,2017.10.19,2.0,0.0,13.549999999999999
111,2017.10.20,2.3,0.0,12.299999999999999
112,2017.10.21,2.0,0.0,12.5
113,2017.10.22,4.8,5.8,9.95
114,2017.10.23,7.3,44.8,9.05
115,2017.10.24,6.8,0.0,7.5
116,2017.10.25,3.6,0.2,10.7
117,2017.10.26,3.8,0.0,11.7
118,2017.10.27,8.4,1.3,8.05
119,2017.10.28,8.1,0.2,7.8
120,2017.10.29,14.4,8.5,6.1
121,2017.10.30,9.1,0.1,5.65
122,2017.10.31,6.1,0.0,5.25
123,2017.11.01,4.1,0.0,7.4
124,2017.11.02,5.0,0.0,7.65
125,2017.11.03,5.6,0.1,6.3500000000000005
126,2017.11.04,3.4,0.0,8.3
127,2017.11.05,4.5,0.7,9.25
128,2017.11.06,5.6,0.1,7.05
129,2017.11.07,5.0,1.9,8.3
130,2017.11.08,4.4,1.9,8.4
131,2017.11.09,3.2,2.1,5.85
132,2017.11.10,3.4,0.8,7.55
133,2017.11.11,4.7,0.3,7.0
134,2017.11.12,6.5,5.3,7.1
135,2017.11.13,6.3,13.8,4.95
136,2017.11.14,5.3,3.6,1.3499999999999999
137,2017.11.15,2.9,0.0,3.5500000000000003
138,2017.11.16,2.2,0.0,3.0500000000000003
139,2017.11.17,2.6,0.1,2.65
140,2017.11.18,4.7,5.0,3.0
141,2017.11.19,4.5,0.7,4.050000000000001
142,2017.11.20,6.9,0.5,4.65
143,2017.11.21,7.6,2.0,6.05
144,2017.11.22,4.4,0.6,4.1000000000000005
145,2017.11.23,2.2,0.2,5.1
146,2017.11.24,2.4,0.2,6.95
147,2017.11.25,6.1,0.5,4.3
148,2017.11.26,7.7,8.7,2.35
149,2017.11.27,6.6,0.0,0.7000000000000002
150,2017.11.28,3.4,0.0,0.050000000000000044
151,2017.11.29,5.3,3.2,2.25
152,2017.11.30,7.7,23.5,-0.3999999999999999
153,2017.12.01,3.8,0.0,-3.0
154,2017.12.02,2.8,0.1,-3.4499999999999997
155,2017.12.03,3.8,0.2,-1.1
156,2017.12.04,6.4,0.6,1.15
157,2017.12.05,6.4,0.3,1.5999999999999999
158,2017.12.06,7.4,0.0,1.0
159,2017.12.07,4.6,0.0,2.3499999999999996
160,2017.12.08,8.3,12.0,1.3
161,2017.12.09,8.4,1.0,-0.1499999999999999
162,2017.12.10,9.1,1.2,6.35
163,2017.12.11,8.9,5.9,11.85
164,2017.12.12,8.7,3.8,2.95
165,2017.12.13,5.8,2.0,1.85
166,2017.12.14,5.6,5.5,5.85
167,2017.12.15,7.0,27.6,3.2
168,2017.12.16,4.7,3.8,0.3500000000000001
169,2017.12.17,5.5,0.0,-2.25
170,2017.12.18,2.2,0.2,-3.3
171,2017.12.19,2.1,0.2,-4.8
172,2017.12.20,2.0,0.2,-5.300000000000001
173,2017.12.21,3.6,0.6,0.7999999999999999
174,2017.12.22,5.7,0.0,0.8999999999999999
175,2017.12.23,7.5,0.2,5.3
176,2017.12.24,8.6,0.2,1.8
177,2017.12.25,4.7,0.0,3.8499999999999996
178,2017.12.26,6.7,0.1,4.9
179,2017.12.27,7.2,0.0,4.75
180,2017.12.28,7.5,7.0,0.29999999999999993
181,2017.12.29,9.5,0.4,-1.15
182,2017.12.30,5.3,0.2,2.0500000000000003
183,2017.12.31,5.0,3.9,4.3
184,2018.01.01,5.0,0.3,3.0
185,2018.01.02,7.8,8.7,1.5499999999999998
186,2018.01.03,7.4,6.1,5.25
187,2018.01.04,6.2,0.3,5.75
188,2018.01.05,3.5,1.1,9.45
189,2018.01.06,4.7,0.4,6.8
190,2018.01.07,3.2,0.1,7.0
191,2018.01.08,4.0,0.3,6.050000000000001
192,2018.01.09,5.5,0.0,4.550000000000001
193,2018.01.10,6.3,1.3,4.5
194,2018.01.11,3.0,3.1,3.5999999999999996
195,2018.01.12,3.9,4.0,0.85
196,2018.01.13,7.6,2.6,-2.0
197,2018.01.14,5.0,3.6,-3.8
198,2018.01.15,2.9,0.9,-1.2000000000000002
199,2018.01.16,5.4,2.7,-0.8500000000000001
200,2018.01.17,8.4,0.0,1.25
201,2018.01.18,7.3,0.3,2.15
202,2018.01.19,7.1,1.2,-0.4999999999999998
203,2018.01.20,3.8,0.1,0.0
204,2018.01.21,9.4,6.2,-1.0499999999999998
205,2018.01.22,7.1,0.0,-4.3
206,2018.01.23,2.0,0.7,-7.4
207,2018.01.24,2.8,0.3,-2.25
208,2018.01.25,4.6,1.4,-2.4499999999999997
209,2018.01.26,3.8,0.0,-1.15
210,2018.01.27,3.0,0.1,0.55
211,2018.01.28,3.7,0.1,4.7
212,2018.01.29,4.8,0.1,2.8499999999999996
213,2018.01.30,7.8,0.0,1.25
214,2018.01.31,4.1,0.1,6.050000000000001
215,2018.02.01,7.4,6.9,6.35
216,2018.02.02,4.7,7.5,1.3
217,2018.02.03,7.6,13.5,0.25
218,2018.02.04,6.9,0.0,-1.2500000000000002
219,2018.02.05,1.7,0.1,-0.9
220,2018.02.06,4.2,1.6,-0.5
221,2018.02.07,5.7,3.6,1.45
222,2018.02.08,4.8,7.4,-0.7
223,2018.02.09,3.6,0.4,-0.55
224,2018.02.10,2.1,0.6,-1.4500000000000002
225,2018.02.11,2.0,0.2,-0.10000000000000009
226,2018.02.12,2.0,0.2,0.30000000000000004
227,2018.02.13,5.0,1.1,0.35
228,2018.02.14,4.5,2.8,-1.2499999999999998
229,2018.02.15,2.0,0.1,-2.3
230,2018.02.16,2.1,1.0,-0.30000000000000004
231,2018.02.17,3.6,2.3,-0.5
232,2018.02.18,3.2,5.2,-4.15
233,2018.02.19,3.8,1.6,-0.35000000000000003
234,2018.02.20,4.3,8.6,0.39999999999999997
235,2018.02.21,4.5,3.9,-1.3
236,2018.02.22,6.2,2.3,-0.75
237,2018.02.23,4.4,0.2,-4.7
238,2018.02.24,6.2,1.4,-9.25
239,2018.02.25,5.7,0.0,-8.7
240,2018.02.26,6.9,0.8,-8.45
241,2018.02.27,6.6,1.9,-9.8
242,2018.02.28,3.9,0.2,-10.15
243,2018.03.01,4.3,0.7,-8.1
244,2018.03.02,4.7,2.5,-8.95
245,2018.03.03,3.5,0.1,-10.100000000000001
246,2018.03.04,4.0,0.1,-9.899999999999999
247,2018.03.05,4.0,0.4,-0.09999999999999998
248,2018.03.06,4.7,6.3,1.7
249,2018.03.07,2.9,0.2,1.8000000000000003
250,2018.03.08,3.8,1.8,3.6500000000000004
251,2018.03.09,3.5,0.0,5.5
252,2018.03.10,5.2,0.5,8.600000000000001
253,2018.03.11,5.6,3.6,11.4
254,2018.03.12,7.2,7.3,9.35
255,2018.03.13,5.9,2.9,8.1
256,2018.03.14,7.0,0.2,7.3
257,2018.03.15,4.4,2.5,8.05
258,2018.03.16,6.0,18.6,3.1999999999999997
259,2018.03.17,6.5,1.5,-2.5500000000000003
260,2018.03.18,10.4,13.4,-2.95
261,2018.03.19,3.6,1.1,-2.05
262,2018.03.20,5.5,1.6,-0.3500000000000001
263,2018.03.21,5.4,0.7,-2.5
264,2018.03.22,2.2,0.0,0.0
265,2018.03.23,2.1,0.0,1.4
266,2018.03.24,3.8,0.0,2.0999999999999996
267,2018.03.25,5.7,0.0,3.25
268,2018.03.26,2.6,0.0,5.6000000000000005
269,2018.03.27,4.9,0.0,4.95
270,2018.03.28,4.1,1.3,7.15
271,2018.03.29,4.8,1.8,8.05
272,2018.03.30,4.1,5.4,10.8
273,2018.03.31,7.1,5.1,8.4
274,2018.04.01,9.7,0.2,8.2
275,2018.04.02,9.5,0.1,10.850000000000001
276,2018.04.03,7.3,0.0,13.149999999999999
277,2018.04.04,7.0,0.0,14.2
278,2018.04.05,7.4,0.2,11.85
279,2018.04.06,7.8,0.0,11.65
280,2018.04.07,4.0,0.1,13.5
281,2018.04.08,8.0,0.0,16.3
282,2018.04.09,6.3,0.6,14.049999999999999
283,2018.04.10,6.8,0.0,13.0
284,2018.04.11,5.8,0.0,16.55
285,2018.04.12,4.8,0.0,15.95
286,2018.04.13,4.8,0.6,15.85
287,2018.04.14,3.0,0.0,18.1
288,2018.04.15,5.2,0.0,17.05
289,2018.04.16,5.2,2.3,16.4
290,2018.04.17,4.1,4.8,17.3
291,2018.04.18,4.3,3.5,15.75
292,2018.04.19,5.0,0.0,15.2
293,2018.04.20,3.4,0.0,14.399999999999999
294,2018.04.21,2.8,0.0,16.4
295,2018.04.22,2.5,0.0,19.25
296,2018.04.23,4.0,0.7,18.55
297,2018.04.24,5.3,2.1,18.75
298,2018.04.25,5.1,0.1,18.2
299,2018.04.26,7.0,1.2,14.649999999999999
300,2018.04.27,5.9,0.0,17.75
301,2018.04.28,4.6,2.3,19.75
302,2018.04.29,5.8,9.9,19.9
303,2018.04.30,5.1,7.7,18.75
304,2018.05.01,3.8,0.6,19.8
305,2018.05.02,3.9,8.4,19.95
306,2018.05.03,4.6,0.0,20.8
307,2018.05.04,4.4,1.2,23.1
308,2018.05.05,6.2,0.0,20.4
309,2018.05.06,6.3,0.0,18.9
310,2018.05.07,6.0,0.0,16.85
311,2018.05.08,4.7,0.4,18.5
312,2018.05.09,2.7,5.2,20.45
313,2018.05.10,4.3,3.3,19.549999999999997
314,2018.05.11,2.0,1.7,19.799999999999997
315,2018.05.12,3.6,0.0,17.95
316,2018.05.13,5.3,0.1,16.85
317,2018.05.14,5.7,0.0,14.8
318,2018.05.15,5.2,8.9,13.55
319,2018.05.16,6.5,0.8,15.5
320,2018.05.17,7.6,1.5,18.25
321,2018.05.18,7.1,1.8,17.7
322,2018.05.19,3.9,1.4,16.6
323,2018.05.20,4.9,0.0,18.2
324,2018.05.21,6.1,0.0,17.4
325,2018.05.22,4.8,0.6,19.35
326,2018.05.23,3.2,1.3,21.15
327,2018.05.24,5.7,0.0,20.6
328,2018.05.25,4.8,0.0,21.2
329,2018.05.26,2.0,0.0,21.1
330,2018.05.27,2.1,4.3,21.950000000000003
331,2018.05.28,3.3,0.0,21.0
332,2018.05.29,5.2,0.4,20.799999999999997
333,2018.05.30,5.4,0.0,22.15
334,2018.05.31,3.5,0.0,23.25
335,2018.06.01,2.5,0.0,22.7
336,2018.06.02,4.0,0.0,23.6
337,2018.06.03,5.8,0.0,21.85
338,2018.06.04,2.9,2.4,22.15
339,2018.06.05,2.1,6.5,19.5
340,2018.06.06,6.0,18.7,19.799999999999997
341,2018.06.07,5.2,0.9,21.1
342,2018.06.08,3.0,26.1,20.65
343,2018.06.09,3.1,31.0,23.450000000000003
344,2018.06.10,2.4,0.0,25.0
345,2018.06.11,3.4,0.0,23.45
346,2018.06.12,4.5,9.0,21.45
347,2018.06.13,4.3,1.7,18.8
348,2018.06.14,4.5,10.8,18.6
349,2018.06.15,5.3,6.2,21.15
350,2018.06.16,5.9,0.0,21.950000000000003
351,2018.06.17,4.3,0.0,21.799999999999997
352,2018.06.18,5.1,0.3,23.0
353,2018.06.19,3.9,2.7,23.95
354,2018.06.20,2.5,0.0,24.0
355,2018.06.21,3.8,0.6,16.35
356,2018.06.22,7.6,6.3,15.05
357,2018.06.23,5.1,0.0,14.45
358,2018.06.24,5.4,0.0,15.600000000000001
359,2018.06.25,2.7,0.0,16.75
360,2018.06.26,3.0,0.3,17.8
361,2018.06.27,6.3,1.3,18.85
362,2018.06.28,6.5,11.9,21.85
363,2018.06.29,5.2,8.4,17.45
364,2018.06.30,7.7,0.0,16.25
365,2018.07.01,4.2,0.0,15.3
366,2018.07.02,3.6,0.0,17.2
367,2018.07.03,3.0,0.0,19.1
368,2018.07.04,2.5,0.0,21.4
369,2018.07.05,2.9,1.1,22.4
370,2018.07.06,3.5,6.3,21.0
371,2018.07.07,5.1,10.1,19.35
372,2018.07.08,4.8,0.0,21.0
373,2018.07.09,3.0,0.3,20.75
374,2018.07.10,2.0,0.7,19.45
375,2018.07.11,6.0,3.9,18.7
376,2018.07.12,4.9,3.0,20.3
377,2018.07.13,6.2,0.0,20.9
378,2018.07.14,5.5,0.0,20.7
379,2018.07.15,4.7,0.0,20.8
380,2018.07.16,4.7,0.0,21.0
381,2018.07.17,5.5,0.0,20.9
382,2018.07.18,10.9,1.3,20.7
383,2018.07.19,9.2,3.7,21.8
384,2018.07.20,4.8,3.0,21.9
385,2018.07.21,2.5,0.0,21.8
386,2018.07.22,3.1,21.4,20.95
387,2018.07.23,4.5,20.3,22.65
388,2018.07.24,4.7,0.0,22.9
389,2018.07.25,3.1,0.0,22.5
390,2018.07.26,2.1,1.6,23.85
391,2018.07.27,3.5,6.3,23.8
392,2018.07.28,2.9,2.5,25.9
393,2018.07.29,3.6,6.5,24.95
394,2018.07.30,3.9,0.9,26.450000000000003
395,2018.07.31,4.0,1.0,26.299999999999997
396,2018.08.01,4.4,0.0,25.549999999999997
397,2018.08.02,2.0,6.7,24.9
398,2018.08.03,4.6,0.0,23.15
399,2018.08.04,2.6,0.0,24.049999999999997
400,2018.08.05,2.7,0.0,23.9
401,2018.08.06,3.3,0.1,23.65
402,2018.08.07,3.4,0.0,24.8
403,2018.08.08,3.9,0.0,26.2
404,2018.08.09,4.7,0.0,28.1
405,2018.08.10,4.6,1.1,23.15
406,2018.08.11,5.1,1.0,23.8
407,2018.08.12,2.9,0.0,25.2
408,2018.08.13,4.8,0.0,24.55
409,2018.08.14,5.7,0.0,23.7
410,2018.08.15,5.6,0.0,21.45
411,2018.08.16,2.8,0.0,23.4
412,2018.08.17,3.4,0.0,24.5
413,2018.08.18,2.0,0.2,25.0
414,2018.08.19,4.0,0.0,26.1
