,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Target: Max_temp
0,2017.07.04,5.3,0.0,6.7,0.0,6.9,0.0,6.1,14.0,30.0
1,2017.07.05,4.2,0.0,5.3,0.0,6.7,0.0,6.9,0.0,30.0
2,2017.07.06,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,28.0
3,2017.07.07,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,32.0
4,2017.07.08,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,30.0
5,2017.07.09,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,36.0
6,2017.07.10,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,31.48
7,2017.07.11,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,32.14
8,2017.07.12,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,24.78
9,2017.07.13,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,24.71
10,2017.07.14,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,24.83
11,2017.07.15,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,25.43
12,2017.07.16,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,29.02
13,2017.07.17,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,31.16
14,2017.07.18,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,33.04
15,2017.07.19,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,34.84
16,2017.07.20,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,33.28
17,2017.07.21,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,34.21
18,2017.07.22,1.9,5.0,4.0,0.0,1.6,0.0,2.3,0.0,33.89
19,2017.07.23,2.5,0.6,1.9,5.0,4.0,0.0,1.6,0.0,30.87
20,2017.07.24,3.1,8.3,2.5,0.6,1.9,5.0,4.0,0.0,22.1
21,2017.07.25,8.4,12.9,3.1,8.3,2.5,0.6,1.9,5.0,20.7
22,2017.07.26,5.9,0.0,8.4,12.9,3.1,8.3,2.5,0.6,20.7
23,2017.07.27,7.1,1.0,5.9,0.0,8.4,12.9,3.1,8.3,23.1
24,2017.07.28,6.8,0.2,7.1,1.0,5.9,0.0,8.4,12.9,26.4
25,2017.07.29,3.3,0.0,6.8,0.2,7.1,1.0,5.9,0.0,27.9
26,2017.07.30,4.7,0.0,3.3,0.0,6.8,0.2,7.1,1.0,30.0
27,2017.07.31,3.8,0.0,4.7,0.0,3.3,0.0,6.8,0.2,31.7
28,2017.08.01,3.9,0.0,3.8,0.0,4.7,0.0,3.3,0.0,34.7
29,2017.08.02,5.5,0.0,3.9,0.0,3.8,0.0,4.7,0.0,34.6
30,2017.08.03,2.1,0.0,5.5,0.0,3.9,0.0,3.8,0.0,36.8
31,2017.08.04,2.1,2.8,2.1,0.0,5.5,0.0,3.9,0.0,33.8
32,2017.08.05,6.6,0.0,2.1,2.8,2.1,0.0,5.5,0.0,32.7
33,2017.08.06,7.9,0.4,6.6,0.0,2.1,2.8,2.1,0.0,23.7
