,Date,Min_temp,Max_temp,Mean_temp,Min_temp1,Max_temp1,Mean_temp1,Min_temp2,Max_temp2,Mean_temp2,Min_temp3,Max_temp3,Mean_temp3,Min_temp4,Max_temp4,Mean_temp4,Min_temp5,Max_temp5,Mean_temp5,Target: Mean_temp
0,2017.07.06,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,16.0,25.0,20.5,15.0,25.0,20.0,15.0,26.0,20.5,22.5
1,2017.07.07,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,16.0,25.0,20.5,15.0,25.0,20.0,24.0
2,2017.07.08,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,16.0,25.0,20.5,24.0
3,2017.07.09,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,28.0
4,2017.07.10,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,26.82
5,2017.07.11,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,25.845
6,2017.07.12,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,21.04
7,2017.07.13,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,19.55
8,2017.07.14,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,20.009999999999998
9,2017.07.15,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,19.895
10,2017.07.16,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,22.810000000000002
11,2017.07.17,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,25.36
12,2017.07.18,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,25.395
13,2017.07.19,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,26.740000000000002
14,2017.07.20,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,28.11
15,2017.07.21,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,27.865000000000002
16,2017.07.22,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,27.735
17,2017.07.23,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,26.395000000000003
18,2017.07.24,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,18.6
19,2017.07.25,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,16.95
20,2017.07.26,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,16.75
21,2017.07.27,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,19.5
22,2017.07.28,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.2
23,2017.07.29,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,22.15
24,2017.07.30,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,24.15
25,2017.07.31,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,26.25
26,2017.08.01,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,29.05
27,2017.08.02,23.4,34.7,29.05,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,27.55
