,Date,Min_temp,Max_temp,Mean_temp,Min_temp1,Max_temp1,Mean_temp1,Min_temp2,Max_temp2,Mean_temp2,Min_temp3,Max_temp3,Mean_temp3,Min_temp4,Max_temp4,Mean_temp4,Min_temp5,Max_temp5,Mean_temp5,Min_temp6,Max_temp6,Mean_temp6,Target: Mean_temp
0,2017.07.07,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,16.0,25.0,20.5,15.0,25.0,20.0,15.0,26.0,20.5,24.0
1,2017.07.08,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,16.0,25.0,20.5,15.0,25.0,20.0,24.0
2,2017.07.09,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,16.0,25.0,20.5,28.0
3,2017.07.10,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,12.0,27.0,19.5,26.82
4,2017.07.11,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,17.0,30.0,23.5,25.845
5,2017.07.12,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,17.0,30.0,23.5,21.04
6,2017.07.13,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,17.0,28.0,22.5,19.55
7,2017.07.14,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,16.0,32.0,24.0,20.009999999999998
8,2017.07.15,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,18.0,30.0,24.0,19.895
9,2017.07.16,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,20.0,36.0,28.0,22.810000000000002
10,2017.07.17,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,22.16,31.48,26.82,25.36
11,2017.07.18,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,19.55,32.14,25.845,25.395
12,2017.07.19,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,17.3,24.78,21.04,26.740000000000002
13,2017.07.20,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,14.39,24.71,19.55,28.11
14,2017.07.21,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,15.19,24.83,20.009999999999998,27.865000000000002
15,2017.07.22,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,14.36,25.43,19.895,27.735
16,2017.07.23,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,16.6,29.02,22.810000000000002,26.395000000000003
17,2017.07.24,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,19.56,31.16,25.36,18.6
18,2017.07.25,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,17.75,33.04,25.395,16.95
19,2017.07.26,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,18.64,34.84,26.740000000000002,16.75
20,2017.07.27,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,22.94,33.28,28.11,19.5
21,2017.07.28,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,21.52,34.21,27.865000000000002,21.2
22,2017.07.29,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,21.58,33.89,27.735,22.15
23,2017.07.30,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,21.92,30.87,26.395000000000003,24.15
24,2017.07.31,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,15.1,22.1,18.6,26.25
25,2017.08.01,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,13.2,20.7,16.95,29.05
26,2017.08.02,23.4,34.7,29.05,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,12.8,20.7,16.75,27.55
27,2017.08.03,20.5,34.6,27.55,23.4,34.7,29.05,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,15.9,23.1,19.5,29.7
28,2017.08.04,22.6,36.8,29.7,20.5,34.6,27.55,23.4,34.7,29.05,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,16.0,26.4,21.2,29.349999999999998
29,2017.08.05,24.9,33.8,29.349999999999998,22.6,36.8,29.7,20.5,34.6,27.55,23.4,34.7,29.05,20.8,31.7,26.25,18.3,30.0,24.15,16.4,27.9,22.15,27.900000000000002
30,2017.08.06,23.1,32.7,27.900000000000002,24.9,33.8,29.349999999999998,22.6,36.8,29.7,20.5,34.6,27.55,23.4,34.7,29.05,20.8,31.7,26.25,18.3,30.0,24.15,20.15
