,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Wind_m/s5,Precipitation_mm5,Wind_m/s6,Precipitation_mm6,Wind_m/s7,Precipitation_mm7,Target: Mean_temp
0,2017.07.08,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,6.9,0.0,6.1,14.0,24.0
1,2017.07.09,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,6.9,0.0,28.0
2,2017.07.10,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,26.82
3,2017.07.11,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,25.845
4,2017.07.12,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,21.04
5,2017.07.13,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,19.55
6,2017.07.14,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,20.009999999999998
7,2017.07.15,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,19.895
8,2017.07.16,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,22.810000000000002
9,2017.07.17,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,25.36
10,2017.07.18,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,25.395
11,2017.07.19,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,26.740000000000002
12,2017.07.20,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,28.11
13,2017.07.21,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,27.865000000000002
14,2017.07.22,1.9,5.0,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,27.735
15,2017.07.23,2.5,0.6,1.9,5.0,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,26.395000000000003
16,2017.07.24,3.1,8.3,2.5,0.6,1.9,5.0,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,18.6
17,2017.07.25,8.4,12.9,3.1,8.3,2.5,0.6,1.9,5.0,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,16.95
18,2017.07.26,5.9,0.0,8.4,12.9,3.1,8.3,2.5,0.6,1.9,5.0,4.0,0.0,1.6,0.0,2.3,0.0,16.75
19,2017.07.27,7.1,1.0,5.9,0.0,8.4,12.9,3.1,8.3,2.5,0.6,1.9,5.0,4.0,0.0,1.6,0.0,19.5
20,2017.07.28,6.8,0.2,7.1,1.0,5.9,0.0,8.4,12.9,3.1,8.3,2.5,0.6,1.9,5.0,4.0,0.0,21.2
21,2017.07.29,3.3,0.0,6.8,0.2,7.1,1.0,5.9,0.0,8.4,12.9,3.1,8.3,2.5,0.6,1.9,5.0,22.15
22,2017.07.30,4.7,0.0,3.3,0.0,6.8,0.2,7.1,1.0,5.9,0.0,8.4,12.9,3.1,8.3,2.5,0.6,24.15
23,2017.07.31,3.8,0.0,4.7,0.0,3.3,0.0,6.8,0.2,7.1,1.0,5.9,0.0,8.4,12.9,3.1,8.3,26.25
24,2017.08.01,3.9,0.0,3.8,0.0,4.7,0.0,3.3,0.0,6.8,0.2,7.1,1.0,5.9,0.0,8.4,12.9,29.05
25,2017.08.02,5.5,0.0,3.9,0.0,3.8,0.0,4.7,0.0,3.3,0.0,6.8,0.2,7.1,1.0,5.9,0.0,27.55
26,2017.08.03,2.1,0.0,5.5,0.0,3.9,0.0,3.8,0.0,4.7,0.0,3.3,0.0,6.8,0.2,7.1,1.0,29.7
27,2017.08.04,2.1,2.8,2.1,0.0,5.5,0.0,3.9,0.0,3.8,0.0,4.7,0.0,3.3,0.0,6.8,0.2,29.349999999999998
28,2017.08.05,6.6,0.0,2.1,2.8,2.1,0.0,5.5,0.0,3.9,0.0,3.8,0.0,4.7,0.0,3.3,0.0,27.900000000000002
29,2017.08.06,7.9,0.4,6.6,0.0,2.1,2.8,2.1,0.0,5.5,0.0,3.9,0.0,3.8,0.0,4.7,0.0,20.15
30,2017.08.07,4.8,4.2,7.9,0.4,6.6,0.0,2.1,2.8,2.1,0.0,5.5,0.0,3.9,0.0,3.8,0.0,21.45
31,2017.08.08,3.0,0.0,4.8,4.2,7.9,0.4,6.6,0.0,2.1,2.8,2.1,0.0,5.5,0.0,3.9,0.0,23.75
32,2017.08.09,4.6,0.0,3.0,0.0,4.8,4.2,7.9,0.4,6.6,0.0,2.1,2.8,2.1,0.0,5.5,0.0,29.5
33,2017.08.10,5.3,0.0,4.6,0.0,3.0,0.0,4.8,4.2,7.9,0.4,6.6,0.0,2.1,2.8,2.1,0.0,28.349999999999998
34,2017.08.11,6.0,0.0,5.3,0.0,4.6,0.0,3.0,0.0,4.8,4.2,7.9,0.4,6.6,0.0,2.1,2.8,21.7
35,2017.08.12,8.6,0.5,6.0,0.0,5.3,0.0,4.6,0.0,3.0,0.0,4.8,4.2,7.9,0.4,6.6,0.0,21.75
36,2017.08.13,8.1,0.0,8.6,0.5,6.0,0.0,5.3,0.0,4.6,0.0,3.0,0.0,4.8,4.2,7.9,0.4,18.95
37,2017.08.14,3.4,0.0,8.1,0.0,8.6,0.5,6.0,0.0,5.3,0.0,4.6,0.0,3.0,0.0,4.8,4.2,21.15
38,2017.08.15,3.2,0.0,3.4,0.0,8.1,0.0,8.6,0.5,6.0,0.0,5.3,0.0,4.6,0.0,3.0,0.0,21.3
39,2017.08.16,2.8,0.0,3.2,0.0,3.4,0.0,8.1,0.0,8.6,0.5,6.0,0.0,5.3,0.0,4.6,0.0,23.55
40,2017.08.17,2.4,0.0,2.8,0.0,3.2,0.0,3.4,0.0,8.1,0.0,8.6,0.5,6.0,0.0,5.3,0.0,25.45
41,2017.08.18,3.8,0.0,2.4,0.0,2.8,0.0,3.2,0.0,3.4,0.0,8.1,0.0,8.6,0.5,6.0,0.0,26.6
42,2017.08.19,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,3.2,0.0,3.4,0.0,8.1,0.0,8.6,0.5,17.799999999999997
43,2017.08.20,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,3.2,0.0,3.4,0.0,8.1,0.0,18.25
44,2017.08.21,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,3.2,0.0,3.4,0.0,16.6
45,2017.08.22,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,3.2,0.0,17.25
46,2017.08.23,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,17.7
47,2017.08.24,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,21.8
48,2017.08.25,2.2,0.0,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,23.299999999999997
